	og_sentence	label	aug_sentence
732	What American poet wrote : `` Good fences make good neighbors '' ?	3	"Which American poet is credited with the quote, ""Good fences make good neighbors""?"
733	What state in the U.S. has the most blacks ?	4	Which state in the United States has the highest African American population?
734	Why are electric cars less efficient in the northeast than in California ?	1	What is the reason behind electric cars being less efficient in the northeastern region compared to California?
735	What is the city in which Maurizio Pellegrin lives called ?	4	What is the name of the city where Maurizio Pellegrin resides?
736	Name the various costumed personas of Dr. Henry Pym .	3	Can you list the different costumed identities of Dr. Henry Pym?
737	What are the living conditions in Cuba ?	1	How would you describe the living conditions in Cuba?
738	What color are school buses ?	2	What is the typical color of school buses?
739	What is the oldest website on the Internet ?	4	Which website holds the title of being the oldest on the Internet?
740	What events happened January 26 , 1978 ?	2	Can you provide a summary of the events that occurred on January 26, 1978?
741	What explorers followed Columbus to the Americas ?	3	Which explorers came to the Americas following Christopher Columbus?
742	Who is actress Goldie Hawn 's current actor boyfriend ?	3	Do you know the current actor who is in a relationship with actress Goldie Hawn?
743	Who banned Peter Rose from baseball for betting on games ?	3	Who imposed the ban on Peter Rose, prohibiting him from participating in baseball due to his involvement in betting on games?
744	What are the seven virtues ?	1	Can you list the seven virtues?
745	What other name were the `` Little Rascals '' known as ?	2	"Under what alternative name were the group known as the ""Little Rascals""?"
746	When was the San Francisco fire ?	5	Do you recall the year when the San Francisco fire took place?
747	What is a fear of food ?	2	What is the term for the fear of food?
748	How many casinos are in Atlantic City , NJ ?	5	How many casinos can be found in Atlantic City, New Jersey?
749	What year did the Vietnam War end ?	5	In what year did the Vietnam War come to an end?
750	What 's the word for broken glass or sharp rocks embedded in cement on top of a wall ?	2	What is the term for sharp objects embedded in cement on top of a wall, such as broken glass or rocks?
751	What is the chromosome number of an elephant ?	5	Do you know the number of chromosomes in an elephant?
752	What organization was founded by the Rev. Jerry Falwell ?	3	Which organization did the Reverend Jerry Falwell establish?
753	What 's the longest river in the world ?	4	Can you name the world's longest river?
754	Which soft drink does Madonna advertise for ?	2	Which soft drink is endorsed by Madonna?
755	What company is being bought by Yahoo and how much is the deal worth ?	3	What company is Yahoo acquiring, and what is the value of the deal?
756	When was Berlin 's Brandenburg gate erected ?	5	Do you recall the year when Berlin's Brandenburg Gate was constructed?
757	What year did Germany sign its nonaggression pact with the Soviet Union ?	5	In what year did Germany sign a nonaggression pact with the Soviet Union?
758	What mountain range is traversed by the highest railroad in the world ?	4	Which mountain range is crossed by the highest railway in the world?
759	Why were the American soldiers in WWI called `` Doughboys ''	1	"What was the reason behind American soldiers in WWI being referred to as ""Doughboys""?"
760	Who was nicknamed The Little Corporal ?	3	"Who was given the nickname ""The Little Corporal""?"
761	Name the vessel used by the Atari Force in the DC comics .	2	Can you identify the spaceship used by the Atari Force in the DC comics?
762	Where are the leading medical groups specializing in lung diseases ?	4	In which locations can you find the leading medical groups specializing in lung diseases?
763	How can I find online spelling , and punctuation drills for my 6th grader ?	1	Is there a way to access spelling and punctuation drills online for my 6th grader?
764	What 's the sacred river of India ?	4	What is considered the holy river of India?
765	What is Stefan Edberg 's native country ?	4	Which country is Stefan Edberg originally from?
766	What is the only gland in humans that can regenerate itself ?	2	Do you know which gland in humans has the ability to regenerate itself?
767	How many Gutenberg Bibles are there ?	5	How many copies of the Gutenberg Bible exist?
768	What astronomical phenomenon takes place in Jan. 1999 ?	2	Are you familiar with the astronomical event occurring in January 1999?
769	What was American folk hero John Chapman 's nickname ?	3	What nickname was given to the American folk hero John Chapman?
770	What is the difference between a median and a mean ?	1	Can you explain the distinction between a median and a mean?
771	What was the top box office movie in April 1998 ?	2	Do you know which movie had the highest box office earnings in April 1998?
772	What makes thunder ?	1	What causes the phenomenon of thunder?
773	What author did photographer Yousuf Karsh call `` the shiest man I ever met '' ?	3	"Who did photographer Yousuf Karsh describe as ""the most introverted person I've ever met""?"
774	What plant is rum made from ?	2	From what plant is rum derived?
775	What country are Godiva chocolates from ?	4	Which country is known for producing Godiva chocolates?
776	Name the poet of the poem which begins : I do not know much about gods ; but I think that the river Is a strong brown god-sullen , and untamed ?	3	"Can you identify the poet responsible for the opening lines: ""I don't know much about gods; but I believe that the river is a powerful, untamed force""?"
777	Which condiment was once sold as a patent medicine ?	2	Which common food condiment was once marketed as a patented medicine?
778	What U.S. state records the least rainfall ?	4	In which U.S. state is the least amount of rainfall recorded?
779	What are the chemicals used in glowsticks ?	2	What substances are used to create the glowing effect in glowsticks?
780	What color are tennis balls ?	2	Can you tell me the typical color of tennis balls?
781	What barroom judge called himself The Law West of the Pecos ?	3	Which barroom judge referred to himself as The Law West of the Pecos?
782	What excuse did the NATO people give for hitting the Chinese embassy ?	1	What reason did the NATO officials provide for the accidental bombing of the Chinese embassy?
783	Who was President of Costa Rica in 1994 ?	3	Who held the position of President in Costa Rica during the year 1994?
784	What two countries share the Khyber Pass ?	4	Which two countries are connected by the Khyber Pass?
785	Who was chairman of the Senate select committee that tried to get to the bottom of Watergate ?	3	Who chaired the Senate select committee that aimed to uncover the truth behind the Watergate scandal?
786	What is the origin of the surname of Braun ?	1	Can you provide the historical background of the surname Braun?
787	What card game has variations called Canfield , Klondike and Spider ?	2	Which card game has different versions known as Canfield, Klondike, and Spider?
788	What mammal of North America is the world 's longest-lived for its size ?	2	What small mammal in North America has the longest average lifespan relative to its size?
789	What was the Chivington Massacre ?	1	What was the Chivington Massacre and its significance?
790	What actor starred in 1980 's Blue Lagoon , 1982 's The Pirate Movie and 1983 's A Night in Heaven ?	3	Can you tell me the actor who starred in the movies Blue Lagoon (1980), The Pirate Movie (1982), and A Night in Heaven (1983)?
791	How many home runs did Lou Gehrig have during his career ?	5	Do you know the total number of home runs hit by Lou Gehrig during his baseball career?
792	In what city is the headquarters of Sinn Fein ?	4	Which city serves as the headquarters for Sinn Fein?
793	Where can I find information on George Bush ?	4	Where can I find reliable information about George Bush?
794	Who is the voice of Miss Piggy ?	3	Who provides the voice for the character Miss Piggy?
795	What is the dialogue circle in cartoons called ?	2	What is the term used to describe the circular dialogue in cartoons?
796	What does the word camaro mean , from the GM car the Camaro ?	1	"Do you know the meaning of the word ""camaro,"" which is associated with the GM car model called Camaro?"
797	Who replaced Bert Parks as the host of The Miss America Pageant ?	3	Who took over as the host of The Miss America Pageant after Bert Parks?
798	How many boys play the game in Winslow Homer 's 1872 painting Snap the Whip ?	5	How many boys are depicted playing the game in Winslow Homer's painting Snap the Whip from 1872?
799	What is the AIM-54C Phoenix ?	1	Can you provide information about the AIM-54C Phoenix?
800	When are sheep shorn ?	5	Can you tell me when sheep are typically sheared?
801	What sport is Chris Jogis a top player of ?	2	Which sport is Chris Jogis known for excelling in?
802	What 's the second-largest island in the world ?	4	Do you know which island holds the second-largest position in terms of size globally?
803	What is the definition of low island ?	1	How would you define a low island?
804	What types of water pollution are there ?	2	What are the different categories of water pollution?
805	What soft drink would provide me with the biggest intake of caffeine ?	2	If I want to consume the highest amount of caffeine in a soft drink, which one should I choose?
806	What 's the name of a golf course in Myrtle Beach ?	2	Can you provide the name of a golf course located in Myrtle Beach?
807	What are some of the significant historical events of the 1990s ?	2	What are some significant historical events that took place during the 1990s?
808	Name the only extant trilogy of classical Greek plays .	2	Could you name the only existing trilogy of classical Greek plays?
809	Where is Logan Airport ?	4	Where can I find Logan Airport?
810	What is the difference between Neoclassical art and Romanticism art ?	1	Can you explain the distinction between Neoclassical art and Romanticism art?
811	What golfer has been called Ohio Fats and Blobbo ?	3	Do you know the golfer who has been nicknamed Ohio Fats and Blobbo?
812	Who murdered Leno and Rosemary LaBianca on August 1	3	Can you provide information about the person responsible for the murder of Leno and Rosemary LaBianca on August 1?
813	What does God create in the first sentence of the Bible ?	2	In the opening sentence of the Bible, what does God create?
814	Which of the following men was not married to Rita Hayworth ?	3	Out of the listed individuals, who was not married to Rita Hayworth?
815	What is the current ticket fare from from Cairo to Barbados ?	5	Do you happen to know the current ticket fare for a trip from Cairo to Barbados?
816	What does NN O `` mean when used as a prefix in Irish surnames ?	0	"What does the prefix ""NN O"" signify when used in Irish surnames?"
817	How do you find oxidation numbers ?	1	How can one determine oxidation numbers?
818	What is the state nickname of Mississippi ?	4	What is the official nickname for the state of Mississippi?
819	What is Black Hills , South Dakota most famous for ?	1	What is the main claim to fame for Black Hills, South Dakota?
820	What holidays are celebrated in Ireland ?	2	Can you provide a list of the holidays celebrated in Ireland?
821	Who portrayed Etta Place , companion to Butch Cassidey and the Sundance Kid ?	3	Do you know the actress who played the character Etta Place, the companion of Butch Cassidy and the Sundance Kid?
822	What are the Greek numerals ?	1	What are the numerical symbols used in the Greek numeral system?
823	What 's the name of the temple that is located near the capital city of Laos ?	4	Can you tell me the name of the temple that is situated near the capital city of Laos?
824	What is a fear of sleep ?	2	What is the term for the fear of sleep?
825	What auto race was Wilbur Reed the first to win three times ?	2	Which automobile race did Wilbur Reed become the first person to win three times?
826	What are the most common breeding birds in the U.S. ?	2	Do you have information about the most commonly bred bird species in the United States?
827	What was organized as a Confederate veterans ' social club in Pulaski , in Tennessee , in 1866 ?	2	In 1866, what organization was initially established as a social club for Confederate veterans in Pulaski, Tennessee?
828	What is an example of an actual case of using the Fourteenth Amendment ?	1	Could you provide an example of an actual case that involved the application of the Fourteenth Amendment?
829	Who was the Charlie perfume woman ?	3	Who is the woman associated with the Charlie perfume brand?
830	Who portrayed `` Rosanne Rosanna-Dana '' on the television show `` Saturday Night Live '' ?	3	"Can you tell me the name of the actress who portrayed the character ""Rosanne Rosanna-Dana"" on the television show ""Saturday Night Live""?"
831	What was Mark Johnson referring to when he said : `` I still can 't believe it- we beat the Russians ? ''	2	"When Mark Johnson said, ""I still can't believe it - we beat the Russians,"" what event or situation was he referring to?"
832	What car was driven in the 199 release of `` Smokey and the Bandit '' ?	2	"Which car was featured in the 199 release of the film ""Smokey and the Bandit""?"
833	What was the backup singing group for Roy Rogers ?	3	Who served as the backup singing group for Roy Rogers?
834	What famous singing cowboy owns the California Angels baseball team ?	3	Which well-known singing cowboy is the owner of the California Angels baseball team?
835	What 1915 film was the first to gross $5 million ?	2	Do you know the title of the 1915 film that became the first to earn $5 million in box office revenue?
836	Where did the term `` 86 '' come from ?	1	"What is the origin or meaning of the term ""86""?"
837	How many Canadians emmigrate each year ?	5	Do you have information on the approximate number of Canadians who emigrate each year?
838	Why did several San Diego schools remove apples from students menus ?	1	Why did several schools in San Diego decide to remove apples from students' menus?
839	What musical instrument did Sherlock Holmes play ?	2	Can you tell me which musical instrument Sherlock Holmes was known to play?
840	Who was Gerald Ford 's vice president ?	3	Can you tell me the name of the vice president who served under Gerald Ford?
841	What is `` the washed vodka '' ?	1	"Do you know the meaning of ""the washed vodka""?"
842	How many different languages are spoken in Europe ?	5	How many distinct languages are spoken throughout the continent of Europe?
843	What year was Desmond Mpilo Tutu awarded the Nobel Peace Prize ?	5	In which year was Desmond Mpilo Tutu honored with the Nobel Peace Prize?
844	Who invented batteries ?	3	Who is credited with the invention of batteries?
845	Why do recipe books recommend starting with cold water when you boil something ?	1	What is the reason behind recipe books recommending the use of cold water when boiling something?
846	What was the infamous pseudonym of Peter Sutcliffe ?	3	Can you recall the notorious pseudonym used by Peter Sutcliffe?
847	What is the Immaculate Conception ?	1	"What does the term ""Immaculate Conception"" refer to?"
848	What are the names of all the U.S. Navy aircraft carriers ?	2	Do you have a list of the names of all the aircraft carriers in the U.S. Navy?
849	What format was VHS 's main competition ?	2	What was the primary rival format to VHS?
850	What is Candlemas Day ?	1	Can you explain the significance of Candlemas Day?
851	In what city is the famed St. Mark 's Square ?	4	Which city is home to the renowned St. Mark's Square?
852	What does the Ouarterly Review of Doublespeak call an `` inoperative statement '' ?	2	"According to the Quarterly Review of Doublespeak, what term is used to describe an ""inoperative statement""?"
853	How much did the minimum wage amount to in 1991 ?	5	What was the specific monetary value of the minimum wage in 1991?
854	Where is Tufts University ?	4	Can you provide the location of Tufts University?
855	What is a pyrotechnic display ?	1	How would you define a pyrotechnic display?
856	How do I find out about jobs ?	1	Where can I obtain information about job opportunities?
857	What Japanese manufacturer is known for both its pianos and its motorcycles ?	3	Which Japanese manufacturer is recognized for producing both pianos and motorcycles?
858	What is the chemical reactivity of argon ?	5	What is the level of chemical reactivity exhibited by argon?
859	How many engines does a Boeing 737 have ?	5	How many engines are typically found in a Boeing 737?
860	What is the origin of the term `` The Brooklyn Side '' in bowling ?	1	"Can you explain the origin of the term ""The Brooklyn Side"" in bowling?"
861	What is a fear of being cold ?	2	What is the term for the fear of feeling cold?
862	How long was Mao 's 1930s Long March ?	5	How extensive was the duration of Mao's Long March in the 1930s?
863	What net game sees its women 's world amateur champions receive the Uber Cup ?	2	In which net game do the women's world amateur champions receive the Uber Cup?
864	What four-legged creature did a Cornell University study say would make man 's best companion in space ?	2	According to a Cornell University study, which four-legged creature was identified as being the ideal companion for humans in space?
865	What did British companies stick 175 , 0 tons of tea into in 1982 ?	2	What did British companies place 175,000 tons of tea into in 1982?
866	What is California 's state bird ?	2	Which bird serves as California's state bird?
867	What is Martin Luther King Jr. 's real birthday ?	5	What is the actual birthdate of Martin Luther King Jr.?
868	Name the various super-teams to which the Angel has belonged .	3	Can you name the different super-teams that the character Angel has been associated with?
869	How does Zatanna perform her magic in DC comics ?	1	How does the character Zatanna perform her magical abilities in DC comics?
870	What 's the name of Jacques Cousteau 's research ship ?	2	Can you tell me the name of the research ship used by Jacques Cousteau?
871	What President dispatched a cruiser to carry Charles Lindbergh home after his epic flight ?	3	Which President sent a cruiser to bring Charles Lindbergh back home after his historic flight?
872	Whose video is titled Shape Up with Arnold ?	3	Who released a fitness video titled Shape Up with Arnold?
873	In which Kevin Costner movie did Sioux Indians play a role ?	2	In which Kevin Costner film did Sioux Indians have a significant role?
874	How many James Bond novels are there ?	5	How many novels in total are part of the James Bond series?
875	What bird can swim but can 't fly ?	2	Which bird is capable of swimming but not flying?
876	How large is the Arctic refuge to preserve unique wildlife and wilderness value on Alaska 's north coast ?	5	What is the size of the Arctic refuge in Alaska's north coast, intended for preserving unique wildlife and wilderness?
877	What is Plc ?	1	"What does the abbreviation ""Plc"" stand for?"
878	How much electricity does the brain need to work ?	5	How much electrical energy does the brain require to function?
879	How many acres in a mile ?	5	How many acres are equivalent to a mile in measurement?
880	What Dickens novel has David carrying the message `` Barkis is willin '' to Peggy ?	2	"In which novel by Charles Dickens does David deliver the message ""Barkis is willing"" to Peggy?"
881	What is a hyperlink ?	1	How would you define a hyperlink?
882	Who 's the twin brother of the Greek goddess Artemis ?	3	Can you identify the twin brother of the Greek goddess Artemis?
883	Where did marijuana come from ?	1	What is the origin of marijuana?
884	What is the per-capita income of Colombia , South America , ?	5	What is the average income per person in Colombia, South America?
885	What does Elysium mean ?	1	"What does the term ""Elysium"" signify?"
886	What is the oldest website on the Internet ?	4	Do you know which is the oldest website existing on the Internet?
887	What was the favorite sport of Tom Wolfe 's The Pump House Gang ?	2	Which sport was favored by the group portrayed in Tom Wolfe's book The Pump House Gang?
888	What organic fuel do bog-dwellers use a `` slane '' to cut ?	2	"What type of organic fuel do people living in bogs use a ""slane"" to cut?"
889	What is the average age of a member of the team that worked on the Manhatten Project ?	5	What is the average age of the individuals involved in the team that worked on the Manhattan Project?
890	What country received all the Nobel Prizes awarded in 1976 ?	4	Which country was the recipient of all the Nobel Prizes given out in 1976?
891	How do you get rid on woodpeckers ?	1	What methods can be used to eliminate woodpeckers?
892	What soft drink first appeared in the Old Corner Drug Store in Waco , Texas , in 1885 ?	2	Which carbonated beverage made its debut at the Old Corner Drug Store in Waco, Texas, in 1885?
893	What is Britain 's possession on the Chinese mainland ?	4	Which territory does Britain possess on the Chinese mainland?
894	Who was America 's first Public Enemy No. 1 ?	3	Who was the first individual to be designated as America's Public Enemy No. 1?
895	How many children under 18 are victims of some sort of Physical Abuse each year ?	5	How many children under the age of 18 experience some form of physical abuse annually?
896	What did Jimmy Stewart invent ?	2	What invention is attributed to Jimmy Stewart?
897	What generation am I in ?	2	Which generation do I belong to?
898	What is a fear of hell ?	2	How would you describe a phobia of hell?
899	Who is Dear Abby ?	3	Can you provide information about Dear Abby and who she is?
900	Who lives at 24 Sussex Drive , Ottawa ?	3	Which individual resides at 24 Sussex Drive in Ottawa?
901	What is Jell-O made from ?	2	What ingredients are used to make Jell-O?
902	Who was Monet ?	3	Who is known as Monet?
903	What are the only two states that incorporate the Confederate battle flag in their flags ?	4	Which two states include the Confederate battle flag in their state flags?
904	What 's the Southern dish made of pigs ' small intestines ?	2	What is the name of the Southern dish consisting of pigs' small intestines?
905	Where is Guam ?	4	Can you provide the location of Guam?
906	Who was the famous door-to-door brush salesman ?	3	Who gained fame as a door-to-door brush salesman?
907	What is the executor in a will ?	1	What role does the executor serve in a will?
908	What inescapable purveyor of background music celebrated its 5th anniversary in July , 1984 ?	3	Which ubiquitous provider of background music celebrated its fifth anniversary in July 1984?
909	How many people in America snore ?	5	How many people in the United States experience snoring?
910	Who is always trying to get the rent from Andy Capp ?	3	Who consistently attempts to collect rent from Andy Capp?
911	Who did Jackie Kennedy commission to write The Death of a President ?	3	Whom did Jackie Kennedy hire to write The Death of a President?
912	Which drug is commonly used to treat AIDS ?	2	Which medication is commonly used for treating AIDS?
913	How many stars are there on the Soviet Union 's flag ?	5	How many stars are featured on the flag of the Soviet Union?
914	What is the difference between microprocessors & microcontrollers ?	1	What distinguishes microprocessors from microcontrollers?
915	Who sought to create The Great Society ?	3	Who aimed to establish The Great Society?
916	What are the lengths of pearl necklaces ?	5	What are the varying lengths of pearl necklaces?
917	Who said : `` Soldiers win the battles and generals get the credit '' ?	3	"Who uttered the statement: ""Soldiers win the battles, and generals receive the credit""?"
918	What is the proof that houseplants metabolize carcinogens ?	1	What evidence supports the notion that houseplants break down carcinogens?
919	What prompted the co-pilot of the Enola Gay to enter only `` My God '' in his log ?	1	"What prompted the Enola Gay's co-pilot to record only ""My God"" in his log?"
920	How long does it take the typical hen to lay 19 dozen eggs ?	5	How much time does the average hen require to lay 19 dozen eggs?
921	What Colorado city owns its own glacier ?	4	Which city in Colorado possesses its own glacier?
922	What is the history of `` the toast '' ?	1	"What is the origin and background of ""the toast"" tradition?"
923	What was the name of the Protestant revolt against the supremacy of the Pope ?	2	What was the name of the Protestant rebellion challenging the Pope's authority?
924	What is an arab strap ?	1	"What does the term ""arab strap"" refer to?"
925	Who is the current UN Secretary General ?	3	Who currently holds the position of UN Secretary General?
926	Who provides telephone service in Orange County , California ?	3	Which company offers telephone service in Orange County, California?
927	Where did guinea pigs originate ?	4	From where did guinea pigs originally come?
928	What two countries ' coastlines border the Bay of Biscay ?	4	Which two countries share coastlines along the Bay of Biscay?
929	Why did Egyptians shave their eyebrows ?	1	What was the reason behind Egyptians removing their eyebrows?
930	What organization did Mr. Waverly assign agents for ?	3	Which organization did Mr. Waverly assign agents to?
931	When was the slinky invented ?	5	During what time period was the slinky invented?
932	What are the characters ' names in the Scooby-Doo cartoon ?	3	What are the names of the characters in the Scooby-Doo cartoon?
933	What is a fear of cold ?	2	How is the fear of cold defined?
934	What was Eduard Shevardnadze 's job in the Soviet Union ?	3	What position did Eduard Shevardnadze hold in the Soviet Union?
935	What causes rust ?	1	What is the cause of rust?
936	Which is the only Dick Tracy villain to appear three times ?	3	Among the villains in Dick Tracy, which one made three appearances?
937	What was the monster in Spielberg 's film `` Jaws '' ?	2	"In Spielberg's film ""Jaws,"" what was the creature or monster?"
938	What color is an Arctic fox in winter ?	2	What color does an Arctic fox turn in winter?
939	What do the names Neil , Mary , and Anthony mean ?	1	What are the meanings behind the names Neil, Mary, and Anthony?
940	What European capital celebrated its 2 , 000th anniversary in 1951 ?	4	In 1951, which capital city of Europe celebrated its 2,000th anniversary?
941	Why do people in the upper peninsula of Michagin say `` eh ? '' ?	1	"What is the reason behind the use of ""eh?"" by people in the upper peninsula of Michigan?"
942	What flower did Vincent Van Gogh paint ?	2	Which type of flower did Vincent Van Gogh depict in his paintings?
943	What was Thatcher 's approval rating after 10 years in power ?	5	After being in power for 10 years, what was Thatcher's approval rating?
944	Winnie the Pooh is what kind of animal ?	2	What type of animal is Winnie the Pooh?
945	What was the first Funk 'N Lata , Brazilian group , success ?	1	What was the initial success of the Brazilian group Funk 'N Lata?
946	What is a handheld PC ?	1	What is the definition of a handheld PC?
947	What did John Hinckley do to impress Jodie Foster ?	1	In order to impress Jodie Foster, what did John Hinckley do?
948	What is Larry King 's job ?	3	What is the profession of Larry King?
949	How many calories are in a tomato ?	5	How many calories are contained in a tomato?
950	What war saw a naval battle between the luxury liners Cap Trafalgar and the Carmania ?	2	In which conflict did the luxury liners Cap Trafalgar and the Carmania engage in a naval battle?
951	What is the treatment for depression ?	2	What are the available methods for treating depression?
952	What country in Latin America is the largest one ?	4	Which country in Latin America holds the distinction of being the largest?
953	What Marx Brothers movie centers on a stolen painting ?	2	Which Marx Brothers film revolves around the theft of a painting?
954	What was unusual about Alexandra 's appearance in Josie and the Pussycats ?	1	What was noteworthy about Alexandra's appearance in Josie and the Pussycats?
955	What is the origin of the word `` mind '' ?	1	"What is the etymology of the word ""mind""?"
956	When was Dick Clark born ?	5	On what date was Dick Clark born?
957	What happened to Moon Maiden ?	1	What was the fate of Moon Maiden?
958	What city is wiener schnitzel named for ?	4	Which city is wiener schnitzel named after?
959	How can you stop the itch from poison ivy ?	1	How can one alleviate the itching caused by poison ivy?
960	What desert has the highest sand dunes ?	4	Which desert is known for having the tallest sand dunes?
961	What two countries contain Sierra Nevada mountains ?	4	Which two countries are home to the Sierra Nevada mountain range?
962	How do you tell your parents you are dating an older man ?	1	How can you approach the topic of dating an older man with your parents?
963	How long was the TV mission of Star Trek 's Enterprise to be ?	5	What was the intended duration of the television mission for the starship Enterprise in Star Trek?
964	What phone number can I call to have a tree planted ?	5	Is there a phone number I can contact to request tree planting services?
965	When did the `` Star-Spangled Banner '' become the national anthem ?	5	"When did the national anthem of the United States become ""The Star-Spangled Banner""?"
966	Who was Lacan ?	3	Who is the individual known as Lacan?
967	What are the four natural aids used in riding a horse ?	2	What are the four natural aids utilized in horseback riding?
968	What continent 's name appears on the upper left corner of a Budweiser label ?	4	Which continent's name is displayed in the upper left corner of a Budweiser label?
969	Who was the Secretary of War in the Civil War during the Battle of Gettysburg ?	3	Who served as the Secretary of War during the Civil War and the Battle of Gettysburg?
970	Who did Bobby Fischer beat to win the world chess championship ?	3	Whom did Bobby Fischer defeat in order to become the world chess champion?
971	How do you exterminate bees that are in the walls of your home ? Will bee eggs remain over winter ?	1	What methods can be used to eliminate bees nesting inside the walls of a house? Do bee eggs survive during the winter?
972	Where can I get information and statistics on countries and nations ?	4	Where can I access data and statistics about different countries and nations?
973	Name a Gaelic language .	2	Provide the name of a language that belongs to the Gaelic language family.
974	What day is August 13 , 1971 ?	5	What specific date does August 13, 1971, refer to?
975	Where can I find a list of all the companies in America that offer a direct stock purchase plan ?	4	Is there a comprehensive list available of all American companies that offer direct stock purchase plans?
976	How do you send a movie transcript to Hollywood so that it can be produced into a film ?	1	How can I submit a movie transcript to Hollywood for consideration and potential film production?
977	What is the origin of blue for boys and pink for girls ?	1	What is the historical background or reasoning behind associating the color blue with boys and pink with girls?
978	What is the name of the Michelangelo painting that shows two hands with fingers touching ?	2	Can you identify the title of the painting by Michelangelo that depicts two hands with fingers touching?
979	How big is a quart ?	5	What is the size or volume measurement of a quart?
980	What is the Hub of London ?	1	Which area is considered the central hub of London?
981	Jude Law acted in which film ?	2	In which movie did Jude Law have a role?
982	What causes panic attacks ?	1	What triggers panic attacks?
983	What was the filling in the first golf balls ?	1	What material was used to fill the earliest golf balls?
984	What country was A Terrible Beauty to Leon Uris ?	4	"In which country did Leon Uris refer to as ""A Terrible Beauty""?"
985	What is typhoid fever ?	1	How would you define typhoid fever?
986	Where can I buy a hat like the kind Jay Kay from Jamiroquai wears ?	4	Where can I find a hat similar to the one worn by Jay Kay from Jamiroquai?
987	What are the Twin Cities ?	1	What are the two cities known as the Twin Cities?
988	Name the lawyer for Randy Craft .	3	Who served as the lawyer for Randy Craft?
989	Which breakfast cereal brought you `` the best each morning '' ?	2	"Which breakfast cereal advertised as giving you ""the best each morning""?"
990	What does Ms. , Miss , and Mrs. stand for ?	0	What are the meanings of the titles Ms., Miss, and Mrs.?
991	What is the Homelite Inc. home page ?	4	What can be found on the homepage of Homelite Inc.?
992	What explosive do you get by mixing charcoal , sulfur and saltpeter ?	2	When charcoal, sulfur, and saltpeter are combined, what explosive is created?
993	What mountainous region of the world is the Lhasa Apso dog native to ?	4	Which mountainous region is the native habitat of Lhasa Apso dogs?
994	What cancer is commonly associated with AIDS ?	2	Which type of cancer is frequently associated with AIDS?
995	Who lives at 39 Stone Canyon Way ?	3	Who resides at 39 Stone Canyon Way?
996	How many questions are on this thing ?	5	How many questions are included in this particular thing?
997	Who played Humpty Dumpty in the 1933 film Alice in Wonderland ?	3	In the 1933 film Alice in Wonderland, who portrayed the character Humpty Dumpty?
998	Who is Karenna Gore , Al Gore 's oldest daughter , married to ?	3	Who is Karenna Gore, the eldest daughter of Al Gore, married to?
999	Who played the title role in I Was a Teenage Werewolf ?	3	Who was the actor that played the lead role in the film I Was a Teenage Werewolf?
1000	In what year did Hitler gain power of Germany ?	5	When did Hitler assume control of Germany?
1001	What year did Rossetti paint `` Beata Beatrix '' ?	5	"When did Rossetti create the painting ""Beata Beatrix""?"
1002	What record company produced the 1978 movie The Wiz ?	3	"Which record company was responsible for producing the film ""The Wiz"" in 1978?"
1003	Where can I find information about touring the Philippines ?	4	Where can I obtain information on touring the Philippines?
1004	What did The Gas House Gang play ?	2	What sport did The Gas House Gang participate in?
1005	How many square feet is Bill Gates ' home ?	5	What is the square footage of Bill Gates' residence?
1006	What is the name of actor Rex Harrison 's son , who starred in a modestly popular TV show during the late 1960's ?	3	What is the name of Rex Harrison's son, known for starring in a moderately popular TV show in the late 1960s?
1007	What 's the most popular form of bridge ?	2	Which form of bridge is the most widely popular?
1008	Who was the inventor of the stove ?	3	Who is credited with inventing the stove?
1009	What comedian has a legendary reputation for stealing jokes ?	3	Which comedian has a notorious reputation for plagiarizing jokes?
1010	Where can I find information on the cyclone that hit New Jersey on 8/28/1941 ?	4	Can you direct me to resources about the cyclone that impacted New Jersey on August 28, 1941?
1011	What are the first ten amendements passed ?	2	Which amendments were the initial ten to be approved?
1012	What is another term for the painful wrist syndrome ?	2	Is there another term used to describe the syndrome characterized by wrist pain?
1013	What 's the difference between sleet and freezing rain ?	1	How do sleet and freezing rain differ from each other?
1014	How is the new Ford Econoline van F25 V1 engine ?	1	How is the performance of the new Ford Econoline van F25 V1 engine?
1015	Who was made the first honorary citizen of the U.S. ?	3	Who was the recipient of the first honorary U.S. citizenship?
1016	What game is Garry Kasparov really good at ?	2	What game does Garry Kasparov excel at?
1017	Where was Richard Nixon when Gerald Ford became president ?	4	During Gerald Ford's assumption of the presidency, where was Richard Nixon located?
1018	Where does the U.S. rank among world countries in area ?	5	In terms of land area, what is the ranking of the United States among other countries?
1019	What novel did Ian Fleming introduce James Bond in ?	2	In which novel did Ian Fleming introduce the character of James Bond?
1020	What was the target rate for M3 growth in 1992 ?	5	What was the designated growth rate for M3 in 1992?
1021	Name of scholar on whose literal translations from the Chinese and Japanese Ezra Pound depended ?	3	Which scholar's literal translations from Chinese and Japanese were relied upon by Ezra Pound?
1022	When did Israel begin turning the Gaza Strip and Jericho over to the PLO ?	5	At what time did Israel commence the process of transferring control of the Gaza Strip and Jericho to the PLO?
1023	What are the major differences in the Catholic and Methodist religions ?	1	What are the key distinctions between the Catholic and Methodist faiths?
1024	Name the On Stage character whose face was never seen .	3	Identify the character in On Stage whose face remained unseen.
1025	How much energy is released when oxygen and hydrogen mix ?	5	What amount of energy is released when oxygen and hydrogen combine?
